n,ime,i,j,c1,c2
18,Circular Ladder graph,2,3,3,2
18,Circular Ladder graph,2,4,3,2
18,"2D Grid Graph for [3, 6]",1,2,4,3
18,"2D Grid Graph for [3, 6]",1,3,3,3
18,"2D Grid Graph for [3, 6]",1,4,3,3
18,"2D Grid Graph for [3, 6]",2,2,3,3
18,"2D Grid Graph for [3, 6]",2,3,4,3
18,"2D Grid Graph for [3, 6]",2,4,2,3
18,"2D Grid Graph for [6, 3]",1,2,3,3
18,"2D Grid Graph for [6, 3]",1,3,4,3
18,"2D Grid Graph for [6, 3]",1,4,3,3
18,"2D Grid Graph for [6, 3]",2,2,2,2
18,"2D Grid Graph for [6, 3]",2,3,3,2
18,"2D Grid Graph for [6, 3]",2,4,2,3
19,Random Block Graph with 9 blocks of order 3,1,2,2,3
19,Random Block Graph with 9 blocks of order 3,1,3,2,2
19,Random Block Graph with 9 blocks of order 3,1,4,2,2
19,Random Block Graph with 9 blocks of order 3,2,2,1,1
19,Random Block Graph with 9 blocks of order 3,2,3,2,1
19,Random Block Graph with 9 blocks of order 3,2,4,1,1
19,Random Block Graph with 6 blocks of order 4,1,2,2,2
19,Random Block Graph with 6 blocks of order 4,1,3,2,2
19,Random Block Graph with 6 blocks of order 4,1,4,2,2
19,Random Block Graph with 6 blocks of order 4,2,2,1,1
19,Random Block Graph with 6 blocks of order 4,2,3,1,1
19,Random Block Graph with 6 blocks of order 4,2,4,2,2
19,Random Block Graph with 3 blocks of order 7,1,2,2,2
19,Random Block Graph with 3 blocks of order 7,1,3,2,2
19,Random Block Graph with 3 blocks of order 7,1,4,1,1
19,Random Block Graph with 3 blocks of order 7,2,2,1,1
19,Random Block Graph with 3 blocks of order 7,2,3,1,1
19,Random Block Graph with 3 blocks of order 7,2,4,1,1
20,"2D Grid Graph for [2, 10]",1,2,4,4
20,"2D Grid Graph for [2, 10]",1,3,3,3
20,"2D Grid Graph for [2, 10]",1,4,2,5
20,"2D Grid Graph for [2, 10]",2,2,3,2
20,"2D Grid Graph for [2, 10]",2,3,2,2
20,"2D Grid Graph for [2, 10]",2,4,2,3
20,Circular Ladder graph,1,2,3,4
20,Circular Ladder graph,1,3,4,4
20,Circular Ladder graph,1,4,4,4
20,Circular Ladder graph,2,2,2,3
20,Circular Ladder graph,2,3,3,3
20,Circular Ladder graph,2,4,3,2
20,"2D Grid Graph for [4, 5]",1,2,4,4
20,"2D Grid Graph for [4, 5]",1,3,4,4
20,"2D Grid Graph for [4, 5]",1,4,3,3
20,"2D Grid Graph for [4, 5]",2,2,3,3
20,"2D Grid Graph for [4, 5]",2,3,3,3
20,"2D Grid Graph for [4, 5]",2,4,3,3
20,"2D Grid Graph for [5, 4]",1,2,5,4
20,"2D Grid Graph for [5, 4]",1,3,3,4
20,"2D Grid Graph for [5, 4]",1,4,3,3
20,"2D Grid Graph for [5, 4]",2,2,3,3
20,"2D Grid Graph for [5, 4]",2,3,2,3
20,"2D Grid Graph for [5, 4]",2,4,3,3
20,,1,2,4,4
20,,1,3,3,3
20,,1,4,3,2
20,,2,2,4,3
20,,2,3,3,3
20,,2,4,2,3
20,,1,2,3,4
20,,1,3,3,3
20,,1,4,2,2
20,,2,2,3,3
20,,2,3,3,3
20,,2,4,3,3
21,Random Block Graph with 10 blocks of order 3,1,2,2,2
21,Random Block Graph with 10 blocks of order 3,1,3,2,2
21,Random Block Graph with 10 blocks of order 3,1,4,2,2
21,Random Block Graph with 10 blocks of order 3,2,2,2,1
21,Random Block Graph with 10 blocks of order 3,2,3,2,2
21,Random Block Graph with 10 blocks of order 3,2,4,2,2
21,"2D Grid Graph for [3, 7]",1,2,4,4
21,"2D Grid Graph for [3, 7]",1,3,3,4
21,"2D Grid Graph for [3, 7]",1,4,3,3
21,"2D Grid Graph for [3, 7]",2,2,3,2
21,"2D Grid Graph for [3, 7]",2,3,2,3
21,"2D Grid Graph for [3, 7]",2,4,2,2
21,"2D Grid Graph for [7, 3]",1,2,3,3
21,"2D Grid Graph for [7, 3]",1,3,4,4
